recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
1.0,0.1,1.0,0.1,1.0,0.1
0.99,0.35069075451647186,0.99,0.3621068032187271,0.99,0.3596077006901562
0.98,0.43789097408400357,0.98,0.41332770982707717,0.98,0.4180887372013652
0.97,0.48940464177598386,0.97,0.4720194647201946,0.97,0.4610266159695818
0.96,0.5390230207748455,0.96,0.5351170568561873,0.96,0.5336297943301834
0.95,0.5882352941176471,0.95,0.5611340815121086,0.95,0.5668257756563246
0.94,0.6064516129032258,0.94,0.590823381521056,0.94,0.5834885164494104
0.931,0.6394230769230769,0.931,0.6198402130492676,0.931,0.6141160949868074
0.921,0.6545842217484008,0.921,0.644055944055944,0.921,0.6467696629213483
0.911,0.6758160237388724,0.911,0.6664228237015362,0.912,0.6696035242290749
0.901,0.6984496124031008,0.901,0.6883116883116883,0.911,0.6758160237388724
0.891,0.7088305489260143,0.891,0.6977290524667189,0.901,0.6914811972371451
0.88,0.7189542483660131,0.88,0.7213114754098361,0.891,0.7065820777160984
0.87,0.7280334728033473,0.87,0.7268170426065163,0.88,0.7201309328968903
0.86,0.7530647985989493,0.86,0.7407407407407407,0.87,0.7298657718120806
0.85,0.7671480144404332,0.85,0.7535460992907801,0.86,0.7413793103448276
0.84,0.7692307692307693,0.84,0.7636363636363637,0.85,0.7522123893805309
0.83,0.7800751879699248,0.83,0.7771535580524345,0.84,0.7622504537205081
0.82,0.7839388145315488,0.82,0.784688995215311,0.83,0.7713754646840149
0.811,0.7858527131782945,0.811,0.7873786407766991,0.82,0.784688995215311
0.801,0.7954319761668321,0.801,0.7962226640159046,0.811,0.7927663734115347
0.791,0.795774647887324,0.791,0.8038617886178862,0.801,0.7970149253731343
0.781,0.8018480492813141,0.781,0.8059855521155831,0.791,0.7997977755308392
0.771,0.8098739495798319,0.771,0.8124341412012644,0.781,0.8068181818181818
0.76,0.811965811965812,0.76,0.8145766345123259,0.771,0.8115789473684211
0.75,0.8161044613710555,0.75,0.8205689277899344,0.76,0.8287895310796074
0.74,0.8203991130820399,0.74,0.8249721293199554,0.75,0.8333333333333334
0.73,0.8371559633027523,0.73,0.8276643990929705,0.74,0.8437856328392246
0.72,0.8450704225352113,0.72,0.8323699421965318,0.73,0.8458864426419467
0.71,0.8492822966507177,0.71,0.8392434988179669,0.72,0.8571428571428571
0.7,0.8557457212713936,0.7,0.847457627118644,0.71,0.8595641646489104
0.69,0.8635794743429287,0.69,0.8560794044665012,0.7,0.8610086100861009
0.681,0.870843989769821,0.681,0.8566037735849057,0.69,0.8668341708542714
0.671,0.8759791122715405,0.671,0.8646907216494846,0.681,0.867515923566879
0.661,0.8836898395721925,0.661,0.8813333333333333,0.671,0.8725617685305592
0.65,0.8831521739130435,0.65,0.8831521739130435,0.661,0.8720316622691293
0.64,0.8827586206896552,0.64,0.8888888888888888,0.65,0.8783783783783784
0.63,0.8823529411764706,0.63,0.8898305084745762,0.64,0.8815426997245179
0.62,0.8831908831908832,0.62,0.8959537572254336,0.63,0.8848314606741573
0.61,0.8879184861717613,0.61,0.898379970544919,0.62,0.8831908831908832
0.6,0.8888888888888888,0.6,0.9036144578313253,0.61,0.8866279069767442
0.59,0.8952959028831563,0.59,0.913312693498452,0.6,0.8982035928143712
0.58,0.8950617283950617,0.58,0.9162717219589257,0.59,0.9007633587786259
0.57,0.8962264150943396,0.57,0.9178743961352657,0.58,0.9048361934477379
0.561,0.9033816425120773,0.561,0.9166666666666666,0.57,0.912
0.551,0.9032786885245901,0.551,0.9183333333333333,0.561,0.9226973684210527
0.541,0.9061976549413735,0.541,0.9216354344122658,0.551,0.9214046822742475
0.53,0.9090909090909091,0.53,0.9265734265734266,0.541,0.9232081911262798
0.52,0.9138840070298769,0.52,0.9369369369369369,0.53,0.9265734265734266
0.51,0.9156193895870736,0.51,0.9375,0.52,0.931899641577061
0.5,0.9259259259259259,0.5,0.9416195856873822,0.51,0.9323583180987203
0.49,0.9297912713472486,0.49,0.9459459459459459,0.5,0.9416195856873822
0.48,0.9320388349514563,0.48,0.9486166007905138,0.49,0.9441233140655106
0.47,0.9418837675350702,0.47,0.9494949494949495,0.48,0.9504950495049505
0.46,0.9504132231404959,0.46,0.9543568464730291,0.47,0.9611451942740287
0.45,0.9533898305084746,0.45,0.9574468085106383,0.46,0.9623430962343096
0.44,0.9586056644880174,0.44,0.9586056644880174,0.45,0.9656652360515021
