xneg_PatMatNP,yneg_PatMatNP,xpos_PatMatNP,ypos_PatMatNP,xquant_PatMatNP,yquant_PatMatNP
-681.1290085182437,3.85880734416099e-6,-482.9802083659337,2.5746264201310515e-5,78.953515625,5.284928254248572e-9
-676.0609252998325,4.250156845057168e-6,-478.55301386019175,2.471643585150434e-5,78.953515625,0.006025362088154923
-670.9928420814214,4.606960056847722e-6,-474.12581935444985,2.1867780726272066e-5,,
-665.9247588630102,4.971438405547458e-6,-469.69862484870794,1.783079907220906e-5,,
-660.856675644599,5.394952990754043e-6,-465.271430342966,1.3399362028068477e-5,,
-655.7885924261878,5.929931156686463e-6,-460.8442358372241,9.279928829912452e-6,,
-650.7205092077767,6.620598587650478e-6,-456.4170413314822,5.923145076484386e-6,,
-645.6524259893655,7.491328209087609e-6,-451.9898468257403,3.4842337813113495e-6,,
-640.5843427709543,8.53517175480417e-6,-447.5626523199984,1.8889018873964214e-6,,
-635.5162595525431,9.709783137795374e-6,-443.1354578142565,9.437540684150868e-7,,
-630.4481763341321,1.0948727182534582e-5,-438.7082633085146,4.345673986535202e-7,,
-625.3800931157209,1.2190162076198638e-5,-434.2810688027726,1.8442608562492524e-7,,
-620.3120098973097,1.3413838116824767e-5,-429.8538742970307,7.217121850706726e-8,,
-615.2439266788986,1.4667830044392083e-5,-425.4266797912888,2.6188479061712948e-8,,
-610.1758434604874,1.6066365921133904e-5,-420.9994852855469,9.37573848126469e-9,,
-605.1077602420762,1.7753040911919134e-5,-416.572290779805,5.284928254248572e-9,,
-600.039677023665,1.9844211613427934e-5,-412.14509627406306,9.451502872986906e-9,,
-594.9715938052539,2.2382578852300565e-5,-407.71790176832116,2.670008895547249e-8,,
-589.9035105868427,2.5328767425214504e-5,-403.29070726257925,7.463559204473613e-8,,
-584.8354273684315,2.8597562721834544e-5,-398.86351275683734,1.9413920988614608e-7,,
-579.7673441500203,3.2117655443733574e-5,-394.43631825109543,4.6769896848805615e-7,,
-574.6992609316092,3.587809642157106e-5,-390.00912374535346,1.0441103377831218e-6,,
-569.631177713198,3.993317649265409e-5,-385.58192923961155,2.162534105945302e-6,,
-564.5630944947868,4.436584755742216e-5,-381.15473473386965,4.161212747177956e-6,,
-559.4950112763756,4.9239503354204394e-5,-376.72754022812774,7.450583986768622e-6,,
-554.4269280579645,5.45785342523691e-5,-372.3003457223858,1.2433502295554899e-5,,
-549.3588448395533,6.040151937120104e-5,-367.8731512166439,1.937135873713025e-5,,
-544.2907616211422,6.679711184935895e-5,-363.445956710902,2.8221897037688097e-5,,
-539.222678402731,7.4002336433243e-5,-359.0187622051601,3.8502051947578026e-5,,
-534.1545951843199,8.243365194439917e-5,-354.5915676994182,4.92428833878858e-5,,
-529.0865119659087,9.263699636695164e-5,-350.1643731936763,5.909259445032941e-5,,
-524.0184287474975,0.00010515591596903344,-345.7371786879343,6.658460328045616e-5,,
