xneg_TopPushK,yneg_TopPushK,xpos_TopPushK,ypos_TopPushK,xquant_TopPushK,yquant_TopPushK
-718.5437689331329,5.429746983004608e-6,-477.5585396537581,2.5018818991213097e-5,62.67021484374994,5.99487404162602e-13
-713.3696539716461,5.555200798426016e-6,-472.9903750817843,2.3847612417051967e-5,62.67021484374994,0.0058469705562910895
-708.1955390101593,5.632817905989879e-6,-468.42221050981055,2.093822954902881e-5,,
-703.0214240486725,5.824755794889628e-6,-463.85404593783676,1.6933144570281804e-5,,
-697.8473090871857,6.276064242329571e-6,-459.28588136586296,1.2613172838769477e-5,,
-692.673194125699,7.070680151626834e-6,-454.7177167938892,8.65341235630826e-6,,
-687.4990791642122,8.210484000773478e-6,-450.1495522219154,5.467827272911251e-6,,
-682.3249642027255,9.619884110496378e-6,-445.58138764994163,3.1819639693705666e-6,,
-677.1508492412387,1.1168598860160834e-5,-441.0132230779679,1.7053686143515454e-6,,
-671.9767342797519,1.2702710488228526e-5,-436.4450585059941,8.417322002492916e-7,,
-666.8026193182651,1.4077248703782799e-5,-431.8768939340203,3.82607128409753e-7,,
-661.6285043567783,1.5187546627655984e-5,-427.3087293620465,1.601573960106472e-7,,
-656.4543893952915,1.599718073098877e-5,-422.74056479007277,6.173731427075967e-8,,
-651.2802744338047,1.6556868378874036e-5,-418.17240021809897,2.1915317783549866e-8,,
-646.1061594723179,1.7004560662063707e-5,-413.6042356461252,7.1637455372093596e-9,,
-640.9320445108312,1.7537453856985714e-5,-409.03607107415144,2.156345703206849e-9,,
-635.7579295493445,1.8355578797810135e-5,-404.46790650217764,5.976906644611368e-10,,
-630.5838145878577,1.9592487040924062e-5,-399.89974193020385,1.525489415343806e-10,,
-625.4096996263709,2.126307771188579e-5,-395.33157735823005,3.58528770560973e-11,,
-620.2355846648841,2.3260592901420686e-5,-390.7634127862563,7.766549903198694e-12,,
-615.0614697033973,2.5417940448063047e-5,-386.1952482142825,1.5986090229347383e-12,,
-609.8873547419105,2.7617733127472955e-5,-381.6270836423087,5.99487404162602e-13,,
-604.7132397804237,2.990621708968598e-5,-377.058919070335,1.7945231411964358e-12,,
-599.5391248189369,3.2556065833765846e-5,-372.4907544983612,8.910271964701622e-12,,
-594.3650098574502,3.604035583544399e-5,-367.9225899263874,4.1831888231147477e-11,,
-589.1908948959634,4.091823825790937e-5,-363.35442535441365,1.811912259119808e-10,,
-584.0167799344766,4.767277931015397e-5,-358.78626078243985,7.235837813299173e-10,,
-578.8426649729898,5.656228491436967e-5,-354.21809621046606,2.6643909795467935e-9,,
-573.668550011503,6.753784725057596e-5,-349.64993163849226,9.047270016528109e-9,,
-568.4944350500162,8.024830816203726e-5,-345.0817670665185,2.8334243442132424e-8,,
-563.3203200885295,9.411818462119288e-5,-340.5136024945447,8.185764134745894e-8,,
-558.1462051270427,0.00010846330558077016,-335.94543792257093,2.1820300292345328e-7,,
-552.972090165556,0.00012261010284552156,-331.3772733505972,5.368422751727761e-7,,
-547.7979752040692,0.00013599963301006893,-326.8091087786234,1.2195254736042937e-6,,
-542.6238602425824,0.00014827074206767127,-322.2409442066496,2.5593426049476746e-6,,
-537.4497452810956,0.00015931778995015785,-317.67277963467586,4.965721231482024e-6,,
-532.2756303196088,0.00016931023562460443,-313.10461506270207,8.916626744070732e-6,,
-527.101515358122,0.0001786579570377967,-308.53645049072827,1.4839123473846944e-5,,
-521.9274003966352,0.0001879187898990385,-303.9682859187545,2.2933940252626157e-5,,
-516.7532854351484,0.00019767024268286054,-299.40012134678074,3.300860543238277e-5,,
-511.5791704736617,0.00020838852142496513,-294.83195677480694,4.441463382945751e-5,,
-506.4050555121749,0.0002203776389802621,-290.26379220283314,5.616029271634286e-5,,
-501.2309405506881,0.00023376731994783893,-285.6956276308594,6.71852295340819e-5,,
-496.05682558920137,0.00024856593676687427,-281.1274630588856,7.668216695406682e-5,,
-490.8827106277146,0.00026473413638222764,-276.5592984869118,8.430807022838064e-5,,
-485.7085956662278,0.00028224583078172134,-271.991133914938,9.018512630298705e-5,,
-480.534480704741,0.0003011196384419976,-267.4229693429643,9.471674473341408e-5,,
-475.36036574325425,0.0003214215677684494,-262.8548047709905,9.834588190407307e-5,,
-470.18625078176746,0.00034324877376455996,-258.2866401990167,0.00010139039913463627,,
-465.01213582028066,0.0003667040108335368,-253.71847562704292,0.00010400827765662397,,
-459.83802085879387,0.00039186581926440396,-249.15031105506915,0.00010624762831580814,,
-454.66390589730713,0.00041875494018882216,-244.58214648309539,0.00010809901114658654,,
-449.48979093582034,0.00044729600977430465,-240.0139819111216,0.00010951100530859959,,
-444.31567597433354,0.00047727894798755725,-235.44581733914782,0.00011040914890341563,,
-439.14156101284675,0.0005083382315673738,-230.87765276717403,0.00011079957018828329,,
-433.96744605136,0.000539982152722168,-226.30948819520026,0.00011099197591773358,,
-428.7933310898732,0.0005716994398252157,-221.7413236232265,0.000111855237802026,,
-423.6192161283864,0.0006031341714901292,-217.1731590512527,0.0001149031446150306,,
-418.44510116689963,0.0006342658402452006,-212.60499447927893,0.00012200399842361653,,
-413.27098620541284,0.0006655007951946996,-208.03682990730513,0.0001346719463496998,,
-408.0968712439261,0.0006976098285682317,-203.46866533533137,0.0001531743083499859,,
-402.9227562824393,0.0007315267759712106,-198.90050076335757,0.00017591421442978816,,
-397.7486413209525,0.0007681011335840768,-194.3323361913838,0.00019954116341168226,,
-392.5745263594657,0.0008079161657982548,-189.76417161941004,0.0002199378368785321,,
-387.400411397979,0.000851229940720556,-185.19600704743624,0.00023375957761097855,,
-382.2262964364922,0.000898012437838193,-180.62784247546247,0.00023984104910984878,,
-377.0521814750054,0.0009479988746757023,-176.05967790348868,0.00023978507437342756,,
-371.8780665135186,0.0010006916571457265,-171.4915133315149,0.00023745003208757888,,
-366.70395155203187,0.0010553071138088123,-166.92334875954114,0.00023762397382387919,,
-361.5298365905451,0.0011107313986250854,-162.35518418756735,0.0002445597224698959,,
-356.3557216290583,0.0011655737937457092,-157.78701961559358,0.0002610146125975202,,
-351.1816066675715,0.00121836353269399,-153.21885504361978,0.00028805178728657203,,
-346.00749170608475,0.0012678490525291828,-148.65069047164602,0.0003254137038630281,,
-340.83337674459796,0.0013132820824498443,-144.08252589967225,0.00037206802414404216,,
-335.65926178311116,0.0013545603808432435,-139.51436132769845,0.0004266229952760198,,
-330.48514682162437,0.0013921767610489439,-134.94619675572469,0.0004875429433451817,,
-325.3110318601376,0.0014270306286886531,-130.3780321837509,0.0005532410249740266,,
-320.13691689865084,0.001460222629285537,-125.80986761177712,0.0006221162877260012,,
-314.96280193716404,0.001492927098801445,-121.24170303980334,0.0006925426566984841,,
-309.78868697567725,0.0015263492553645637,-116.67353846782956,0.0007628305845774503,,
-304.61457201419046,0.0015617030035653273,-112.10537389585578,0.0008312531902497961,,
-299.4404570527037,0.0016001473587404147,-107.53720932388201,0.0008962374107150143,,
-294.2663420912169,0.0016426785187637267,-102.96904475190823,0.0009567049261182501,,
-289.09222712973013,0.0016900227058731854,-98.40088017993445,0.0010123984420722684,,
-283.91811216824334,0.0017425642064193422,-93.83271560796067,0.0010640016815638208,,
-278.7439972067566,0.0018002938693571207,-89.26455103598688,0.0011130045439924708,,
-273.5698822452698,0.0018627408214314757,-84.69638646401312,0.0011614563967313762,,
-268.395767283783,0.001928894160044809,-80.12822189203933,0.001211809443106505,,
-263.2216523222962,0.0019971999546525765,-75.56005732006555,0.0012669138592914094,,
-258.0475373608095,0.0020657514724507814,-70.99189274809177,0.0013300063595357461,,
-252.8734223993227,0.0021327207483422916,-66.42372817611799,0.0014044458900526603,,
-247.6993074378359,0.0021969320321307334,-61.855563604144216,0.0014931137269250528,,
-242.52519247634913,0.0022583470088020463,-57.287399032170434,0.0015977128536295599,,
-237.35107751486234,0.0023182124882411143,-52.71923446019666,0.0017184125798528802,,
-232.17696255337555,0.002378738359192455,-48.15106988822288,0.0018541766505924002,,
-227.00284759188878,0.0024423701758090983,-43.582905316249104,0.002003715410185766,,
-221.828732630402,0.0025109027841552006,-39.01474074427532,0.0021665745582223023,,
-216.65461766891522,0.002584769776137474,-34.44657617230154,0.0023436969976432004,,
-211.48050270742843,0.0026627973712815556,-29.878411600327762,0.002536975778538043,,
-206.30638774594166,0.0027425342088642285,-25.310247028353984,0.0027477667750837632,,
-201.13227278445487,0.002821020799087361,-20.742082456380206,0.0029748758841344155,,
-195.9581578229681,0.0028956606314368793,-16.17391788440643,0.0032129776918303618,,
-190.7840428614813,0.002964819377029603,-11.605753312432649,0.0034525211903085984,,
-185.60992789999455,0.003027941809789486,-7.037588740458869,0.003681723921608525,,
-180.43581293850775,0.0030852374170190966,-2.46942416848509,0.0038902871265857376,,
-175.261697977021,0.0031371773580283393,2.098740403488689,0.0040734175215152765,,
-170.0875830155342,0.0031840642697648575,6.666904975462468,0.004234267235426372,,
-164.91346805404743,0.0032258174126753494,11.235069547436247,0.004383403432612896,,
-159.73935309256063,0.003261978205768998,15.803234119410027,0.004535198292018847,,
-154.56523813107387,0.0032918713654227962,20.371398691383806,0.004702407987039809,,
-149.39112316958708,0.0033148480672548298,24.939563263357584,0.0048909951612453395,,
-144.2170082081003,0.00333053576831301,29.507727835331362,0.005097152425140365,,
-139.04289324661352,0.0033390028600021006,34.07589240730514,0.00530765291175625,,
-133.86877828512672,0.003340747252888449,38.64405697927892,0.005503444820634088,,
-128.69466332363996,0.0033364732748255833,43.212221551252696,0.005665206198690724,,
-123.52054836215318,0.003326719950981767,47.78038612322648,0.005778787977353165,,
-118.3464334006664,0.0033114885135979706,52.34855069520026,0.005838480621734721,,
-113.17231843917962,0.003290031628077497,56.916715267174034,0.0058469705562910895,,
-107.99820347769284,0.0032609000712982127,61.484879839147816,0.005812334922253002,,
-102.82408851620606,0.0032222342648016563,66.05304441112159,0.005743690539258022,,
-97.64997355471928,0.0031721990649776267,70.62120898309537,0.00564749982397466,,
-92.47585859323249,0.0031094304761858527,75.18937355506915,0.0055259454470379015,,
-87.30174363174571,0.003033386899038019,79.75753812704293,0.005377689045412732,,
-82.12762867025893,0.0029445375267438284,84.32570269901672,0.005200344771824544,,
-76.95351370877215,0.002844348588120997,88.89386727099048,0.004993474201294079,,
-71.77939874728537,0.0027350542391852864,93.46203184296427,0.00476085427190447,,
-66.60528378579859,0.002619251839697164,98.03019641493805,0.004511058382243876,,
-61.43116882431181,0.0024994404730798525,102.59836098691183,0.004255943302359121,,
-56.25705386282503,0.0023776758248856282,107.16652555888561,0.004007399310220459,,
-51.08293890133825,0.002255480847577857,111.73469013085938,0.0037735226451905248,,
-45.90882393985147,0.0021340203795525764,116.30285470283316,0.003555841409915096,,
