angle,angle_buffer,angle_buffer_deg,angle_deg,epoch,loss,norm_a,norm_b,t_est_1,t_est_2,t_est_buffer,t_true,lb,ub
1.581426859,1.581426859,90.60908462,90.60908462,0,188.6432037,1096.905884,1096.905884,2.1079216,1.63307941,2.1079216,12.75254059,0,90
1.581426859,1.581426859,90.60908462,90.60908462,0.006993007,188.6432037,1096.905884,1096.905884,2.1079216,1.63307941,2.1079216,12.75254059,0,90
1.601681113,1.601681113,91.76956791,91.76956791,0.013986014,188.7049561,1111.972656,1111.972656,3.884110451,3.31450367,3.884110451,12.75520325,0,90
1.599917531,1.5962075,91.45595295,91.6685221,0.020979021,188.7737732,1108.659912,1100.657471,3.879325867,3.085025787,3.879325867,12.75841045,0,90
1.59301722,1.613188267,92.42887925,91.27316343,0.027972028,188.8473511,1110.13855,1095.632324,3.874109745,1.349884152,3.874109745,12.76175117,0,90
1.587634444,1.587634444,90.96475306,90.96475306,0.034965035,188.9249115,1224.841064,1224.841064,7.530534267,3.86874485,7.530534267,12.76526546,0,90
1.493774176,1.586442709,90.89647166,85.58695581,0.041958042,189.0028076,1228.346558,1093.64563,7.521167755,1.223259091,7.521167755,12.76885509,0,90
1.595451593,1.591158748,91.16668078,91.41264272,0.048951049,189.0825348,1222.425781,1148.720825,7.51128912,6.66417408,7.51128912,12.77256393,0,90
1.579513073,1.579513073,90.49943277,90.49943277,0.055944056,189.1628418,1279.736572,1279.736572,8.593204498,7.500968456,8.593204498,12.77627563,0,90
1.584424496,1.583065271,90.70295874,90.78083656,0.062937063,189.2431793,1306.570801,1230.25415,8.581126213,7.517176628,8.581126213,12.77996159,0,90
1.595791936,1.581711888,90.62541561,91.43214291,0.06993007,189.3247223,1300.456421,1098.631592,8.568762779,1.347700596,8.568762779,12.78372478,0,90
1.602083087,1.581949234,90.63901451,91.79259931,0.076923077,189.40802,1287.67627,1104.022217,8.556208611,3.612592936,8.556208611,12.78760815,0,90
1.574745417,1.578513026,90.44213431,90.22626618,0.083916084,189.4915771,1301.177856,1097.241333,8.543433189,0.961857975,8.543433189,12.79146862,0,90
1.614805937,1.590735316,91.14241995,92.52156491,0.090909091,189.5742188,1309,1101.870605,8.530511856,2.292518139,8.530511856,12.79532051,0,90
1.596545815,1.594734311,91.37154547,91.47533703,0.097902098,189.6600189,1289.968872,1238.242065,8.517449379,7.769328117,8.517449379,12.79928303,0,90
1.604540944,1.588442206,91.01103443,91.93342415,0.104895105,189.7490692,1295.155396,1103.343018,8.504301071,2.81047678,8.504301071,12.80333614,0,90
1.576661587,1.580998898,90.58456424,90.33605464,0.111888112,189.839325,1287.121216,1100.099121,8.491072655,1.746194243,8.491072655,12.80744171,0,90
1.611534357,1.585762978,90.85752592,92.3341172,0.118881119,189.9280548,1286.884033,1106.301392,8.47781086,3.593069792,8.47781086,12.81151009,0,90
1.597541213,1.587073803,90.93263068,91.53236911,0.125874126,190.0175171,1295.431885,1104.041138,8.464486122,1.548047423,8.464486122,12.8155756,0,90
1.496379256,1.595053077,91.3898094,85.73621593,0.132867133,190.1078796,1302.455933,1095.439209,8.451118469,2.485890388,8.451118469,12.81969738,0,90
1.581932187,1.580967546,90.5827679,90.6380378,0.13986014,190.2015991,1294.876099,1220.491089,8.437725067,7.32521677,8.437725067,12.82396317,0,90
1.572217226,1.586564302,90.90343846,90.08141153,0.146853147,190.2923889,1297.807617,1101.272461,8.42431736,1.782599092,8.42431736,12.82812214,0,90
1.592391253,1.591206074,91.16939236,91.2372981,0.153846154,190.3840027,1306.731567,1100.220581,8.410920143,1.268176079,8.410920143,12.83231449,0,90
1.579603553,1.579501748,90.4987839,90.50461688,0.160839161,190.4777527,1313.640015,1156.95874,8.397508621,6.666049957,8.397508621,12.83661747,0,90
1.615677357,1.585662961,90.8517954,92.57149359,0.167832168,190.5679779,1310.283691,1103.406128,8.384049416,1.728627443,8.384049416,12.84079552,0,90
1.586031795,1.580934644,90.58088277,90.872928,0.174825175,190.6583252,1302.693115,1103.456787,8.370528221,2.3701334,8.370528221,12.84495354,0,90
1.581796408,1.580708981,90.56795322,90.63025821,0.181818182,190.7463074,1309.36377,1216.725464,8.356975555,7.014266968,8.356975555,12.84903526,0,90
1.586342573,1.586342573,90.8907343,90.8907343,0.188811189,190.8338013,1299.496216,1299.496216,8.343398094,8.343398094,8.343398094,12.85306644,0,90
1.580702662,1.580702662,90.56759122,90.56759122,0.195804196,190.9221039,1298.790649,1298.790649,8.329863548,8.329863548,8.329863548,12.85712528,0,90
0.158451691,1.588700414,91.02582862,9.078613166,0.202797203,191.0090485,1303.642456,722.5093994,8.316339493,7.294548035,8.316339493,12.86111927,0,90
1.588090897,1.583137989,90.70712516,90.99090586,0.20979021,191.0979614,1286.651489,1135.920532,8.302818298,3.558651209,8.302818298,12.86519051,0,90
1.56947875,1.58592689,90.86691743,89.92450842,0.216783217,191.1851196,1299.731934,1104.460083,8.289367676,2.34328866,8.289367676,12.86919022,0,90
1.584514976,1.580115438,90.53394571,90.78602067,0.223776224,191.272583,1292.604126,1118.923828,8.275929451,4.756746292,8.275929451,12.87318897,0,90
1.581765413,1.580507398,90.55640337,90.62848236,0.230769231,191.3577423,1297.4021,1123.097046,8.262541771,4.902468204,8.262541771,12.87710857,0,90
1.164290905,1.582675934,90.68065135,66.70895498,0.237762238,191.4409943,1299.490967,1073.227905,8.249164581,3.160494566,8.249164581,12.88095379,0,90
1.530271649,1.599213004,91.62815568,87.67810702,0.244755245,191.523407,1283.783813,1101.953247,8.235789299,2.725948095,8.235789299,12.88476658,0,90
1.585339785,1.581205487,90.59640096,90.83327875,0.251748252,191.6130371,1291.953857,1138.3479,8.222495079,3.566899061,8.222495079,12.88881397,0,90
1.591029644,1.587116122,90.9350554,91.15928368,0.258741259,191.700882,1303.343262,1178.494507,8.209212303,6.078764439,8.209212303,12.89278984,0,90
1.640256405,1.5885396,91.01661469,93.97976932,0.265734266,191.7904205,1318.269653,1106.616577,8.195919991,0.720805347,8.195919991,12.89682579,0,90
1.590932012,1.580947518,90.58162043,91.15368976,0.272727273,191.8827515,1292.609253,1109.444214,8.182588577,2.949731588,8.182588577,12.90096188,0,90
1.626477242,1.586278439,90.88705966,93.19028141,0.27972028,191.9724731,1285.724487,1107.948608,8.169289589,1.966567874,8.169289589,12.90499783,0,90
1.415142655,1.582170486,90.65169134,81.08170156,0.286713287,192.0625153,1288.692383,1095.704102,8.156052589,0.534668326,8.156052589,12.90905762,0,90
1.631914854,1.582805395,90.68806893,93.50183366,0.293706294,192.1504211,1289.258789,1105.331299,8.142842293,0.604896247,8.142842293,12.91304874,0,90
1.62769115,1.608897805,92.18305391,93.25983323,0.300699301,192.2373657,1300.923706,1134.475708,8.129680634,4.35390234,8.129680634,12.91699886,0,90
1.636662245,1.592205048,91.22662935,93.77383912,0.307692308,192.3350067,1292.842163,1109.756958,8.116562843,2.129676104,8.116562843,12.92132282,0,90
1.54913342,1.579167247,90.47961839,88.75880687,0.314685315,192.4346619,1299.382324,1105.172119,8.103485107,1.760714531,8.103485107,12.92571926,0,90
1.625484228,1.589569688,91.07563436,93.13338594,0.321678322,192.529953,1279.112183,1111.655884,8.090382576,2.979116201,8.090382576,12.92994881,0,90
0.877476275,1.580217719,90.53980601,50.27568718,0.328671329,192.6272736,1280.535889,1017.080383,8.077348709,2.989071131,8.077348709,12.93423557,0,90
1.606298447,1.586525679,90.90122547,92.03412163,0.335664336,192.7207642,1278.165649,1111.702026,8.06435585,2.81289053,8.06435585,12.93837547,0,90
1.703572154,1.593817353,91.31900766,97.60749452,0.342657343,192.8137817,1287.134033,1108.727905,8.051422119,1.307432771,8.051422119,12.94250584,0,90
1.599573493,1.590615988,91.13558293,91.64881017,0.34965035,192.9104156,1286.961182,1110.797729,8.038511276,2.447353363,8.038511276,12.94676495,0,90
1.556672931,1.578861713,90.46211261,89.19078901,0.356643357,193.0088654,1282.27002,1106.593506,8.025597572,0.616090477,8.025597572,12.95106602,0,90
1.655050635,1.586841941,90.91934597,94.82741629,0.363636364,193.1027985,1296.182861,1109.15625,8.012718201,1.056380749,8.012718201,12.95521069,0,90
1.591969848,1.587333322,90.94750001,91.21315338,0.370629371,193.1963196,1296.558105,1163.479736,7.99980545,6.659348488,7.99980545,12.959342,0,90
1.583457947,1.582624912,90.67772802,90.72545739,0.377622378,193.290741,1281.008911,1231.557373,7.986893177,7.220404625,7.986893177,12.96351051,0,90
1.556173086,1.582033873,90.64386395,89.16215003,0.384615385,193.3824158,1304.921631,1111.976929,7.974023819,1.871629238,7.974023819,12.96758747,0,90
1.584059954,1.580567122,90.5598253,90.75994984,0.391608392,193.4713135,1306.493286,1153.152222,7.961114883,3.591404676,7.961114883,12.97156239,0,90
1.598647237,1.58456409,90.78883471,91.5957396,0.398601399,193.5575714,1286.77063,1109.216187,7.948169231,0.894531429,7.948169231,12.97546673,0,90
1.585434198,1.581987143,90.64118651,90.83868826,0.405594406,193.6440582,1289.666504,1133.90271,7.935273647,3.817143202,7.935273647,12.97937679,0,90
1.599304438,1.592382312,91.23678584,91.63339443,0.412587413,193.7293549,1296.550049,1109.628418,7.922388554,0.977449954,7.922388554,12.98324108,0,90
1.400433898,1.585781574,90.85859143,80.23895184,0.41958042,193.8195343,1281.538696,1098.904419,7.90949297,2.414907932,7.90949297,12.98727703,0,90
1.586263299,1.586753368,90.91427114,90.88619223,0.426573427,193.9113312,1281.657593,1117.047852,7.896665573,1.183558822,7.896665573,12.99139023,0,90
1.598510742,1.588236094,90.99922503,91.58791903,0.433566434,194.0036469,1275.209473,1121.58313,7.883860588,3.283987284,7.883860588,12.99551296,0,90
1.58875823,1.589380503,91.06479485,91.02914126,0.440559441,194.0968933,1278.651245,1111.39563,7.871120453,1.712944865,7.871120453,12.99967003,0,90
1.604272485,1.585312724,90.8317283,91.91804257,0.447552448,194.1919861,1265.532959,1113.765015,7.858428955,2.355322599,7.858428955,13.00389194,0,90
1.616565824,1.584684253,90.79571954,92.62239899,0.454545455,194.2857819,1288.296875,1111.881836,7.845821857,1.080318689,7.845821857,13.00807858,0,90
1.608280897,1.584321856,90.77495577,92.14770768,0.461538462,194.3782959,1283.068237,1112.210815,7.833226204,1.459750175,7.833226204,13.01221943,0,90
1.609038711,1.580198407,90.53869952,92.19112719,0.468531469,194.469635,1276.969971,1112.346191,7.820640564,1.159816623,7.820640564,13.01630688,0,90
1.584150314,1.58046639,90.55405379,90.76512713,0.475524476,194.5568085,1283.283691,1122.880615,7.808094025,3.254753828,7.808094025,13.02026653,0,90
1.612360835,1.590913653,91.15263791,92.3814709,0.482517483,194.6403351,1292.427246,1126.562378,7.7955513,4.10945797,7.7955513,13.02407932,0,90
1.628673077,1.592362404,91.2356452,93.3160935,0.48951049,194.7281036,1278.518433,1115.036499,7.783005714,2.39235425,7.783005714,13.02801895,0,90
1.608301878,1.583119154,90.70604599,92.14890979,0.496503497,194.8187408,1284.495361,1113.185669,7.770497799,1.225564837,7.770497799,13.03202534,0,90
1.617779255,1.59295702,91.26971418,92.69192349,0.503496503,194.9069061,1285.175659,1114.592896,7.757980824,1.644332528,7.757980824,13.03595638,0,90
1.613745332,1.582823515,90.68910712,92.46079672,0.51048951,194.9982147,1278.859863,1113.182617,7.74547863,0.950812697,7.74547863,13.03999233,0,90
1.623344898,1.585655332,90.85135826,93.01081136,0.517482517,195.0879059,1280.083618,1118.401367,7.733032703,2.911123753,7.733032703,13.04397488,0,90
1.589789391,1.58169198,90.62427496,91.08822239,0.524475524,195.1773987,1292.072021,1127.56543,7.720592976,3.497488976,7.720592976,13.04796505,0,90
1.496064067,1.584998965,90.81375124,85.71815691,0.531468531,195.2644806,1290.404175,1111.43396,7.708125591,1.627546668,7.708125591,13.05186939,0,90
1.624039412,1.592426419,91.23931301,93.05060404,0.538461538,195.3513489,1284.866699,1127.43042,7.695662975,4.092830658,7.695662975,13.05578899,0,90
1.58719492,1.58719492,90.93957016,90.93957016,0.545454545,195.442276,1271.689087,1271.689087,7.68321228,7.68321228,7.68321228,13.05985355,0,90
1.582950473,1.582950473,90.69638127,90.69638127,0.552447552,195.5331421,1284.894043,1284.894043,7.670842171,7.670842171,7.670842171,13.06393528,0,90
1.606965065,1.59875834,91.60210534,92.07231605,0.559440559,195.621521,1290.523682,1156.727173,7.658456326,3.624966383,7.658456326,13.06792831,0,90
1.608402848,1.589971185,91.09863843,92.15469496,0.566433566,195.71698,1286.207275,1116.79126,7.646065712,1.293531537,7.646065712,13.07215977,0,90
1.578631759,1.592623711,91.25061697,90.44893718,0.573426573,195.8135529,1277.871338,1115.636841,7.633703709,1.90360117,7.633703709,13.07644749,0,90
1.617154598,1.599129796,91.62338821,92.6561333,0.58041958,195.9130249,1279.137573,1115.905884,7.621374607,0.584298313,7.621374607,13.08082294,0,90
1.574542642,1.584693909,90.79627279,90.21464803,0.587412587,196.0167847,1287.01001,1118.878052,7.609084129,2.27349329,7.609084129,13.08533955,0,90
1.633821249,1.580956101,90.58211221,93.61106205,0.594405594,196.1194916,1277.935669,1117.014893,7.596778393,1.159187317,7.596778393,13.08980751,0,90
1.461403251,1.583966732,90.75460863,83.73223843,0.601398601,196.2174225,1285.388916,1110.628052,7.584481239,1.669195056,7.584481239,13.09410858,0,90
1.586733937,1.583301187,90.71647569,90.91315782,0.608391608,196.3135376,1279.645874,1138.507935,7.572161674,3.592947006,7.572161674,13.09832573,0,90
1.607899666,1.587542057,90.95945967,92.12586473,0.615384615,196.4068146,1276.317505,1121.258057,7.559856892,2.524087906,7.559856892,13.10244465,0,90
1.623217583,1.590787411,91.14540474,93.00351672,0.622377622,196.5000305,1281.971191,1118.302002,7.547579288,0.651643693,7.547579288,13.10656357,0,90
1.588820338,1.588820338,91.03269979,91.03269979,0.629370629,196.595108,1293.893921,1293.893921,10.77893257,7.535299301,10.77893257,13.11070919,0,90
1.600285411,1.592143893,91.22312546,91.68960006,0.636363636,196.6948395,1288.068848,1119.838135,10.77220249,2.611850739,10.77220249,13.11506653,0,90
1.586100698,1.578393102,90.43526314,90.87687585,0.643356643,196.7971191,1282.713135,1121.064697,10.76451111,1.478510618,10.76451111,13.11951351,0,90
1.587615371,1.581166148,90.594147,90.96366023,0.65034965,196.8952026,1296.894653,1120.416626,10.75616741,1.076267123,10.75616741,13.12384892,0,90
1.629457474,1.59524262,91.4006694,93.36103614,0.657342657,196.9915924,1292.550659,1131.231201,10.74728394,4.271984577,10.74728394,13.12815189,0,90
1.547159076,1.584775448,90.80094464,88.64568528,0.664335664,197.0930328,1295.630615,1118.123169,10.73799896,0.525356174,10.73799896,13.132617,0,90
1.6126194,1.587124586,90.93554035,92.39628558,0.671328671,197.1954041,1297.360718,1123.904907,10.72838879,2.247902155,10.72838879,13.13711834,0,90
1.630266666,1.594779491,91.37413411,93.40739947,0.678321678,197.2990417,1288.242798,1126.594482,10.71852684,3.124950171,10.71852684,13.14168358,0,90
1.591610074,1.578681827,90.45180586,91.19253987,0.685314685,197.4064178,1292.207764,1121.387817,10.7084713,1.813408613,10.7084713,13.14636135,0,90
1.569503069,1.601461411,91.75697988,89.92590178,0.692307692,197.5078735,1287.609253,1121.242554,10.69826984,2.280581951,10.69826984,13.1508503,0,90
1.616323233,1.606103539,92.02295427,92.60849956,0.699300699,197.6164856,1302.460815,1151.198608,10.68795395,6.216341972,10.68795395,13.15556431,0,90
1.620962262,1.589851856,91.09180141,92.87429637,0.706293706,197.7348633,1291.949341,1126.712769,10.6774807,2.923663855,10.6774807,13.16059399,0,90
1.594177961,1.582608819,90.67680595,91.33966898,0.713286713,197.8535461,1293.5979,1123.704468,10.66695786,1.957484603,10.66695786,13.16564083,0,90
1.563613176,1.589712024,91.0837896,89.5884358,0.72027972,197.9693298,1288.031982,1121.547119,10.65635681,2.220527887,10.65635681,13.17054653,0,90
